0,180
0,780
0,1020
60,0
60,60
60,180
60,300
60,360
60,420
60,480
60,540
60,660
60,780
60,900
60,1020
120,180
120,300
120,540
120,660
120,780
120,900
120,1020
180,60
180,120
180,180
180,240
180,420
180,660
180,720
180,780
180,900
180,1020
240,60
240,420
240,540
240,660
240,900
240,1020
300,60
300,180
300,360
300,540
300,660
300,780
300,840
300,900
300,1020
360,300
360,420
360,900
360,1020
420,60
420,120
420,300
420,420
420,540
420,660
420,720
420,780
420,900
420,1020
480,60
480,300
480,420
480,540
480,900
480,1020
540,60
540,240
540,300
540,420
540,540
540,660
540,720
540,780
540,840
540,900
540,1020
600,60
600,180
600,420
600,540
600,900
600,1020
660,60
660,180
660,300
660,420
660,540
660,600
660,660
660,720
660,780
660,900
660,1020
720,180
720,300
720,420
720,780
720,900
780,60
780,120
780,180
780,300
780,420
780,480
780,540
780,600
780,780
780,840
780,900
780,1020
840,180
840,300
840,540
840,660
840,780
840,1020
900,60
900,240
900,300
900,420
900,540
900,660
900,780
900,900
960,60
960,420
960,660
960,780
960,900
960,1020
1020,60
1020,120
1020,180
1020,300
1020,360
1020,420
1020,540
1020,780
1020,900
1080,180
1080,660
1080,900
1080,1020
1140,60
1140,300
1140,360
1140,420
1140,480
1140,540
1140,600
1140,720
1140,780
1140,840
1140,900
1140,1020
1200,60
1200,900
1260,60
1260,120
1260,180
1260,300
1260,420
1260,480
1260,540
1260,600
1260,660
1260,720
1260,780
1260,900
1260,1020
1320,300
1320,780
1320,1020
1380,60
1380,120
1380,180
1380,300
1380,480
1380,540
1380,600
1380,660
1380,780
1380,840
1380,900
1380,960
1440,180
1440,420
1440,660
1440,780
1440,1020
1500,60
1500,180
1500,240
1500,300
1500,360
1500,420
1500,540
1500,660
1500,780
1500,900
1500,960
1500,1020
1560,540
1560,780
1560,1020
1620,60
1620,120
1620,180
1620,300
1620,360
1620,420
1620,480
1620,600
1620,660
1620,720
1620,840
1620,900
1620,1020
1680,540
1680,1020
1740,60
1740,180
1740,300
1740,420
1740,540
1740,600
1740,660
1740,780
1740,900
1740,960
1740,1020
1800,420
1800,780
1800,900
1800,960
1800,1020
1860,0
1860,60
1860,180
1860,240
1860,300
1860,360
1860,480
1860,600
1860,720
1860,780
1860,900
1860,960
